LinkID,LinkName,AirportCode,NodeNameFrom,NodeNameTo,Length,LinkTypeID,RunwayAssociation
194,Terminal4S.A_SpotNE.13,PHX,Terminal4S.A,SpotNE.13,83.2040818953,10,null
195,Terminal4S.D_SpotNE.12,PHX,Terminal4S.D,SpotNE.12,96.4638619683,10,null
197,W.Cargo.D_SpotW.1,PHX,W.Cargo.D,SpotW.1,161.4550652142,10,null
198,B.n15_08/26.13,PHX,B.n15,08/26.13,290.0995594644,10,null
199,B.n15_Taxiway Intersection (12),PHX,B.n15,Taxiway Intersection (12),346.4333884495,10,null
200,Taxiway Intersection (12)_Taxiway Intersection (11),PHX,Taxiway Intersection (12),Taxiway Intersection (11),426.257,10,null
201,Taxiway Intersection (11)_Taxiway Intersection (10),PHX,Taxiway Intersection (11),Taxiway Intersection (10),426.241,10,null
202,Taxiway Intersection (11)_08/26.13,PHX,Taxiway Intersection (11),08/26.13,336.2070194003,10,null
203,Taxiway Intersection (10)_08/26.12,PHX,Taxiway Intersection (10),08/26.12,385.754,10,null
204,Taxiway Intersection (9)_08/26.11,PHX,Taxiway Intersection (9),08/26.11,404.195,10,null
205,Taxiway Intersection (10)_Taxiway Intersection (9),PHX,Taxiway Intersection (10),Taxiway Intersection (9),1431.07,10,null
206,Taxiway Intersection (8)_Taxiway Intersection (9),PHX,Taxiway Intersection (8),Taxiway Intersection (9),852.608,10,null
208,Taxiway Intersection (7)_Taxiway Intersection (8),PHX,Taxiway Intersection (7),Taxiway Intersection (8),1857.199,10,null
209,08/26.8_Taxiway Intersection (7),PHX,08/26.8,Taxiway Intersection (7),344.6424562552,10,null
210,Taxiway Intersection (6)_08/26.7,PHX,Taxiway Intersection (6),08/26.7,329.1146620825,10,null
211,Taxiway Intersection (7)_Taxiway Intersection (6),PHX,Taxiway Intersection (7),Taxiway Intersection (6),1004.818,10,null
212,08/26.6_Taxiway Intersection (5),PHX,08/26.6,Taxiway Intersection (5),364.2623091141,10,null
213,Taxiway Intersection (6)_Taxiway Intersection (5),PHX,Taxiway Intersection (6),Taxiway Intersection (5),790.5883401351,10,null
214,Taxiway Intersection (4)_08/26.4,PHX,Taxiway Intersection (4),08/26.4,373.5497634131,10,null
215,Taxiway Intersection (5)_Taxiway Intersection (4),PHX,Taxiway Intersection (5),Taxiway Intersection (4),1800.9256314327,10,null
216,Taxiway Intersection (3)_08/26.3,PHX,Taxiway Intersection (3),08/26.3,382.065,10,null
217,08/26.2_Taxiway Intersection (2),PHX,08/26.2,Taxiway Intersection (2),372.188,10,null
219,Taxiway Intersection (2)_Taxiway Intersection (1),PHX,Taxiway Intersection (2),Taxiway Intersection (1),307.2744432755,10,null
221,08/26.1_Taxiway Intersection (1),PHX,08/26.1,Taxiway Intersection (1),314.9010832951,10,null
222,Taxiway Intersection (13)_D.n13,PHX,Taxiway Intersection (13),D.n13,305.678,10,null
